answer,count
Australia,495
China,476
Chicago,467
Japan,456
France,444
India,425
Spain,420
California,416
Mexico,382
Alaska,373
Canada,364
Hawaii,346
Florida,344
Italy,343
Texas,333
Brazil,329
New York,321
Paris,317
Egypt,312
Ireland,311
South Africa,305
Greece,305
Boston,297
Germany,295
Sweden,292
London,291
Russia,286
Switzerland,278
New Orleans,276
San Francisco,272
Virginia,262
Georgia,260
Philadelphia,260
Norway,246
Maine,242
Massachusetts,240
Cuba,239
Napoleon,238
Portugal,238
George Washington,234
New Zealand,233
Poland,227
Rome,226
Louisiana,226
Denmark,224
Michigan,223
Venice,223
Pennsylvania,222
Washington,220
Scotland,220
